ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener3	keV		Hi Energy Channel 3, ~1.11 keV, mapped	Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection		Particle	Atom	Energy	Maximum								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener3_plasma	keV		Flux Variance, Hi Energy Channel 3, ~1.11 keV, X-Y image	Flux Variance, Hi Energy Channel 3, ~1.11 keV, X-Y image		Particle	Atom	Energy	Maximum								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux3	(cm^2 s sr keV)^-1		Differential Flux, Hi Energy Channel 3, ~1.11 keV, mapped	Differential Flux, Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Differential								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux3_plasma	(cm^2 s sr keV)^-1		Differential Flux, Hi Energy Channel 3, ~1.11 keV, X-Y image	Differential Flux, Hi Energy Channel 3, ~1.11 keV, X-Y image	NeutralAtomImages	Particle	Atom	NumberFlux	Differential								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr3			S/N Ratio, Hi Energy Channel 3, ~1.11 keV, mapped	Signal to Noise Ratio, Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Ratio								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr3_plasma			S/N Ratio, Hi Energy Channel 3, ~1.11 keV, X-Y image	Signal to Noise Ratio, Hi Energy Channel 3, ~1.11 keV, X-Y image	NeutralAtomImages	Particle	Atom	NumberFlux	Ratio								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar3	(cm^2 s sr keV)^-2		Flux Variance, Hi Energy Channel 3, ~1.11 keV, mapped	Flux Variance, Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Variance								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar3_plasma	(cm^2 s sr keV)^-2		Flux Variance, Hi Energy Channel 3, ~1.11 keV, X-Y image	Flux Variance, Hi Energy Channel 3, ~1.11 keV, X-Y image	NeutralAtomImages	Particle	Atom	NumberFlux	Variance								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts3			Total Counts, Hi Energy Channel 3, ~1.11 keV, mapped	Total Counts, Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	Counts	Scalar								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts3_plasma			Total Counts, Hi Energy Channel 3, ~1.11 keV, X-Y image	Total Counts, Hi Energy Channel 3, ~1.11 keV, X-Y image	NeutralAtomImages	Particle	Atom	Counts	Scalar								
