APOLLO15_SWS_1HR	10.48322/70qp-jj13	spase://NASA/NumericalData/Apollo15-LM/SWS/PT1HR	no	
APOLLO15_SWS_28S	10.48322/97e0-5h57	spase://NASA/NumericalData/Apollo15-LM/SWS/PT28S	no	
BAR_1A_L2_EPHM	10.48322/6z4h-nc30	spase://NASA/NumericalData/BARREL/1A/Ephemeris/L2/PT4S	yes	
BAR_1A_L2_FSPC	10.48322/y0xa-nh97	spase://NASA/NumericalData/BARREL/1A/FastSpectra/L2/PT0.05S	yes	
BAR_1A_L2_HKPG	10.48322/c6ne-ba73	spase://NASA/NumericalData/BARREL/1A/Housekeeping/L2/PT40S	yes	
BAR_1A_L2_MAGN	10.48322/w6hk-sg12	spase://NASA/NumericalData/BARREL/1A/Magnetometer/L2/PT0.25S	yes	
BAR_1A_L2_MSPC	10.48322/b3tb-2j68	spase://NASA/NumericalData/BARREL/1A/MediumSpectra/L2/PT4S	yes	
BAR_1A_L2_RCNT	10.48322/cs79-7n39	spase://NASA/NumericalData/BARREL/1A/RateCounter/L2/PT4S	yes	
BAR_1A_L2_SSPC	10.48322/zf2e-8t15	spase://NASA/NumericalData/BARREL/1A/SlowSpectra/L2/PT32S	yes	
BAR_1B_L2_EPHM	10.48322/6psd-w950	spase://NASA/NumericalData/BARREL/1B/Ephemeris/L2/PT4S	yes	
BAR_1B_L2_FSPC	10.48322/zwpb-gd36	spase://NASA/NumericalData/BARREL/1B/FastSpectra/L2/PT0.05S	yes	
BAR_1B_L2_HKPG	10.48322/jnz6-mm05	spase://NASA/NumericalData/BARREL/1B/Housekeeping/L2/PT40S	yes	
BAR_1B_L2_MAGN	10.48322/dvz5-6463	spase://NASA/NumericalData/BARREL/1B/Magnetometer/L2/PT0.25S	yes	
BAR_1B_L2_MSPC	10.48322/xsac-gy90	spase://NASA/NumericalData/BARREL/1B/MediumSpectra/L2/PT4S	yes	
BAR_1B_L2_RCNT	10.48322/dafb-ne70	spase://NASA/NumericalData/BARREL/1B/RateCounter/L2/PT4S	yes	
BAR_1B_L2_SSPC	10.48322/m40j-ew70	spase://NASA/NumericalData/BARREL/1B/SlowSpectra/L2/PT32S	yes	
BAR_1C_L2_EPHM	10.48322/drbp-w973	spase://NASA/NumericalData/BARREL/1C/Ephemeris/L2/PT4S	yes	
BAR_1C_L2_FSPC	10.48322/gxys-hr97	spase://NASA/NumericalData/BARREL/1C/FastSpectra/L2/PT0.05S	yes	
BAR_1C_L2_HKPG	10.48322/48e3-bc29	spase://NASA/NumericalData/BARREL/1C/Housekeeping/L2/PT40S	yes	
BAR_1C_L2_MAGN	10.48322/8k18-dm67	spase://NASA/NumericalData/BARREL/1C/Magnetometer/L2/PT0.25S	yes	
BAR_1C_L2_MSPC	10.48322/hxs2-n143	spase://NASA/NumericalData/BARREL/1C/MediumSpectra/L2/PT4S	yes	
BAR_1C_L2_RCNT	10.48322/m51j-4083	spase://NASA/NumericalData/BARREL/1C/RateCounter/L2/PT4S	yes	
BAR_1C_L2_SSPC	10.48322/zejc-sv71	spase://NASA/NumericalData/BARREL/1C/SlowSpectra/L2/PT32S	yes	
BAR_1D_L2_EPHM	10.48322/25t8-6425	spase://NASA/NumericalData/BARREL/1D/Ephemeris/L2/PT4S	yes	
BAR_1D_L2_FSPC	10.48322/b6ef-hd09	spase://NASA/NumericalData/BARREL/1D/FastSpectra/L2/PT0.05S	yes	
BAR_1D_L2_HKPG	10.48322/5zsp-3s97	spase://NASA/NumericalData/BARREL/1D/Housekeeping/L2/PT40S	yes	
BAR_1D_L2_MAGN	10.48322/jv0x-j569	spase://NASA/NumericalData/BARREL/1D/Magnetometer/L2/PT0.25S	yes	
BAR_1D_L2_MSPC	10.48322/64ww-2n81	spase://NASA/NumericalData/BARREL/1D/MediumSpectra/L2/PT4S	yes	
BAR_1D_L2_RCNT	10.48322/4h81-bk40	spase://NASA/NumericalData/BARREL/1D/RateCounter/L2/PT4S	yes	
BAR_1D_L2_SSPC	10.48322/4p83-ym30	spase://NASA/NumericalData/BARREL/1D/SlowSpectra/L2/PT32S	yes	
BAR_1G_L2_EPHM	10.48322/h9ph-1g74	spase://NASA/NumericalData/BARREL/1G/Ephemeris/L2/PT4S	yes	
BAR_1G_L2_FSPC	10.48322/wvky-v338	spase://NASA/NumericalData/BARREL/1G/FastSpectra/L2/PT0.05S	yes	
BAR_1G_L2_HKPG	10.48322/axks-mn61	spase://NASA/NumericalData/BARREL/1G/Housekeeping/L2/PT40S	yes	
BAR_1G_L2_MAGN	10.48322/hgv2-8860	spase://NASA/NumericalData/BARREL/1G/Magnetometer/L2/PT0.25S	yes	
BAR_1G_L2_MSPC	10.48322/baq8-f915	spase://NASA/NumericalData/BARREL/1G/MediumSpectra/L2/PT4S	yes	
BAR_1G_L2_RCNT	10.48322/6cs7-wh14	spase://NASA/NumericalData/BARREL/1G/RateCounter/L2/PT4S	yes	
BAR_1G_L2_SSPC	10.48322/thhq-y177	spase://NASA/NumericalData/BARREL/1G/SlowSpectra/L2/PT32S	yes	
BAR_1H_L2_EPHM	10.48322/pkpa-h637	spase://NASA/NumericalData/BARREL/1H/Ephemeris/L2/PT4S	yes	
BAR_1H_L2_FSPC	10.48322/ajq0-7695	spase://NASA/NumericalData/BARREL/1H/FastSpectra/L2/PT0.05S	yes	
BAR_1H_L2_HKPG	10.48322/s49a-y430	spase://NASA/NumericalData/BARREL/1H/Housekeeping/L2/PT40S	yes	
BAR_1H_L2_MAGN	10.48322/by86-xd44	spase://NASA/NumericalData/BARREL/1H/Magnetometer/L2/PT0.25S	yes	
BAR_1H_L2_MSPC	10.48322/26s4-6e86	spase://NASA/NumericalData/BARREL/1H/MediumSpectra/L2/PT4S	yes	
BAR_1H_L2_RCNT	10.48322/n4kz-3e94	spase://NASA/NumericalData/BARREL/1H/RateCounter/L2/PT4S	yes	
BAR_1H_L2_SSPC	10.48322/g5sq-zk30	spase://NASA/NumericalData/BARREL/1H/SlowSpectra/L2/PT32S	yes	
BAR_1I_L2_EPHM	10.48322/5y5j-a444	spase://NASA/NumericalData/BARREL/1I/Ephemeris/L2/PT4S	yes	
BAR_1I_L2_FSPC	10.48322/b3my-e903	spase://NASA/NumericalData/BARREL/1I/FastSpectra/L2/PT0.05S	yes	
BAR_1I_L2_HKPG	10.48322/w183-cr37	spase://NASA/NumericalData/BARREL/1I/Housekeeping/L2/PT40S	yes	
BAR_1I_L2_MAGN	10.48322/26k0-7g17	spase://NASA/NumericalData/BARREL/1I/Magnetometer/L2/PT0.25S	yes	
BAR_1I_L2_MSPC	10.48322/854v-rh42	spase://NASA/NumericalData/BARREL/1I/MediumSpectra/L2/PT4S	yes	
BAR_1I_L2_RCNT	10.48322/npka-5c76	spase://NASA/NumericalData/BARREL/1I/RateCounter/L2/PT4S	yes	
BAR_1I_L2_SSPC	10.48322/rnmb-rf14	spase://NASA/NumericalData/BARREL/1I/SlowSpectra/L2/PT32S	yes	
BAR_1J_L2_EPHM	10.48322/cy7m-z194	spase://NASA/NumericalData/BARREL/1J/Ephemeris/L2/PT4S	yes	
BAR_1J_L2_FSPC	10.48322/v2p2-dg83	spase://NASA/NumericalData/BARREL/1J/FastSpectra/L2/PT0.05S	yes	
BAR_1J_L2_HKPG	10.48322/4pm9-wh04	spase://NASA/NumericalData/BARREL/1J/Housekeeping/L2/PT40S	yes	
BAR_1J_L2_MAGN	10.48322/ym6r-0a10	spase://NASA/NumericalData/BARREL/1J/Magnetometer/L2/PT0.25S	yes	
BAR_1J_L2_MSPC	10.48322/rnt4-0620	spase://NASA/NumericalData/BARREL/1J/MediumSpectra/L2/PT4S	yes	
BAR_1J_L2_RCNT	10.48322/f1rv-gm55	spase://NASA/NumericalData/BARREL/1J/RateCounter/L2/PT4S	yes	
BAR_1J_L2_SSPC	10.48322/pnc0-t138	spase://NASA/NumericalData/BARREL/1J/SlowSpectra/L2/PT32S	yes	
BAR_1K_L2_EPHM	10.48322/vx0e-1e48	spase://NASA/NumericalData/BARREL/1K/Ephemeris/L2/PT4S	yes	
BAR_1K_L2_FSPC	10.48322/syxw-pc22	spase://NASA/NumericalData/BARREL/1K/FastSpectra/L2/PT0.05S	yes	
BAR_1K_L2_HKPG	10.48322/a81f-0j09	spase://NASA/NumericalData/BARREL/1K/Housekeeping/L2/PT40S	yes	
