Astro	231017	mms1_fpi_brst_l2_des-dist	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-dist	YYYY_MM	92	62901	62901	0	0	0	0	0	0	0	0	2015-07-15T15:27:04	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_des-distaux	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-distaux	YYYY_MM	33	17896	17896	0	0	0	0	0	0	0	0	2015-09-19T07:40:24	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_des-moms	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-moms	YYYY_MM	92	62901	62901	0	0	0	0	0	0	0	0	2015-07-15T15:27:04	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_des-momsaux	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-momsaux	YYYY_MM	33	17668	17668	0	0	0	0	0	0	0	0	2015-09-19T07:40:24	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_des-partmoms	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-partmoms	YYYY_MM	63	49291	49291	0	0	0	0	0	0	0	0	2015-09-01T12:11:14	2021-06-19T22:05:43
Astro	231017	mms1_fpi_brst_l2_des-qdist	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-qdist	YYYY_MM	1	1	1	0	0	0	0	0	0	0	0	2017-07-03T05:27:03	2017-07-03T05:27:03
Astro	231017	mms1_fpi_brst_l2_des-qmoms	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/des-qmoms	YYYY_MM	1	1	1	0	0	0	0	0	0	0	0	2017-07-03T05:27:03	2017-07-03T05:27:03
Astro	231017	mms1_fpi_brst_l2_dis-dist	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/dis-dist	YYYY_MM	92	62480	62480	0	0	0	0	0	0	0	0	2015-07-15T15:27:04	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_dis-moms	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/dis-moms	YYYY_MM	92	62480	62480	0	0	0	0	0	0	0	0	2015-07-15T15:27:04	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_dis-momsaux	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/dis-momsaux	YYYY_MM	33	17475	17475	0	0	0	0	0	0	0	0	2015-09-19T07:40:24	2023-08-31T23:27:13
Astro	231017	mms1_fpi_brst_l2_dis-partmoms	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/dis-partmoms	YYYY_MM	63	49291	49291	0	0	0	0	0	0	0	0	2015-09-01T12:11:14	2021-06-19T22:05:43
Astro	231017	mms1_fpi_brst_l2_dis-qdist	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/dis-qdist	YYYY_MM	1	1	1	0	0	0	0	0	0	0	0	2017-07-03T05:27:03	2017-07-03T05:27:03
Astro	231017	mms1_fpi_brst_l2_dis-qmoms	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/brst/l2/dis-qmoms	YYYY_MM	1	1	1	0	0	0	0	0	0	0	0	2017-07-03T05:27:03	2017-07-03T05:27:03
Astro	231017	mms1_fpi_fast_l2_des-dist	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/fast/l2/des-dist	YYYY_MM	92	18157	18157	0	0	0	0	0	0	0	0	2015-07-15T14:00:00	2023-08-31T22:00:00
Astro	231017	mms1_fpi_fast_l2_des-distaux	YYYYMMDDHHMMSS_MMS	mms/mms1/fpi/fast/l2/des-distaux	YYYY_MM	70	13699	13699	0	0	0	0	0	0	0	0	2015-09-01T00:00:00	2023-08-31T22:00:00
